País,Área ($km^2$),População,IDH
Afeganistão,652230,38928346,0.511
Alemanha,357021,83251851,0.939
Argentina,2780400,45605826,0.830
Austrália,7686850,25950116,0.935
Austria,83858,8935806,0.914
Bélgica,30528,11513064,0.916
Bolívia,1098581,11673217,0.693
Brasil,8514877,212559417,0.759
Canadá,9984670,37745477,0.926
Chile,756956,18436743,0.847
China,9596961,1439323776,0.758
Colômbia,1138910,51338000,0.767
Costa Rica,51100,5097987,0.794
Croácia,56594,4065493,0.831
Cuba,109884,11333483,0.764
Dinamarca,43094,5809502,0.929
Egito,1010000,101329327,0.707
Espanha,505992,46727970,0.904
Estados Unidos,9833517,331449281,0.924
França,551695,67221579,0.901
Grécia,131957,10724599,0.870
Holanda,41543,17282163,0.933
Índia,3287590,1380004385,0.645
Indonésia,1904569,273523615,0.718
Itália,301338,60461874,0.883
Japão,377944,127171983,0.915
México,1964375,128932753,0.767
Nigéria,923768,202915907,0.534
Noruega,323802,5378857,0.954
Paquistão,796095,216565318,0.562
Reino Unido,243610,67133000,0.922
Rússia,17125200,145934029,0.824
Suécia,449964,10325342,0.934
Suíça,41290,8654622,0.938
Tailândia,513120,69451871,0.777
Turquia,783562,84339067,0.767
Ucrânia,603700,41953137,0.750
Uruguai,176215,3473734,0.809
Venezuela,916445,34214435,0.761
