a52dec 0.7.4-10
aalib 1.4rc5-13
accounts-qml-module 0.7-2
accountsservice 0.6.55-1
acl 2.2.53-1
acpi 1.7-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.34.0-1
allegro 5.2.5-1
alsa-lib 1.1.9-2
alsa-plugins 1.1.9-2
alsa-utils 1.1.9-1
android-udev 20190315-1
antlr4-runtime 4.7.2-1
aom 1.0.0.errata1-1
archlinux-keyring 20190827-1
arduino 1:1.8.9-3
arduino-avr-core 1.6.23-1
arduino-builder 1.4.4-2
arduino-ctags 5.8_arduino11-3
argon2 20190702-1
aria2 1.34.0-3
aribb24 1.0.3-2
asciinema 2.0.2-2
aspell 0.60.7-1
at-spi2-atk 2.34.0-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
atkmm 2.28.0-1
atomicparsley 0.9.6-1
attica 5.62.0-1
attr 2.4.48-1
audacity 1:2.3.2-2
audit 2.8.5-3
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
avr-binutils 2.32-1
avr-gcc 9.2.0-1
avr-libc 2.0.0-3
avrdude 1:6.3-6
babl 0.1.66-1
bash 5.0.009-1
bc 1.07.1-3
bcprov 1.61-1
beep 1.4.4-1
binaryen 87-1
binutils 2.32-2
bison 3.4-1
blas 3.8.0-2
blueman 2.1.1-1
bluez 5.50-7
bluez-libs 5.50-7
bluez-utils 5.50-7
bolt 0.8-2
boost-libs 1.69.0-2
borg 1.1.10-1
breeze-icons 5.62.0-1
brotli 1.0.7-1
btrfs-progs 5.2.1-1
bubblewrap 0.3.3-3
bzip2 1.0.8-2
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.46-1
ca-certificates-utils 20181109-1
cabextract 1.9.1-1
cairo 1.17.2+17+g52a7c79fd-1
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
celt 0.11.3-3
cgal 4.14-1
cheese 3.34.0-2
chromaprint 1.4.3-2
chrome-gnome-shell 10.1-2
cifs-utils 6.8-2
clamav 0.101.4-1
clang 8.0.1-1
clucene 2.3.3.4-10
clutter 1.26.2-2
clutter-gst 3.0.27-1
clutter-gtk 1.8.4-1
cmake 3.15.3-2
cmark-gfm 0.29.0.gfm.0-1
code 1.38.1-1
cogl 1.22.4-1
colord 1.4.4-2
colord-gtk 0.2.0-1
compiler-rt 8.0.1-1
compton 7.3-1
confuse 3.2.2-1
convertlit 1.8-8
coreutils 8.31-1
cowsay 3.04-1
cracklib 2.9.7-1
cryptsetup 2.2.1-1
ctemplate 2.3-5
cups 2.3.0-3
cups-filters 1.25.5-1
cups-pk-helper 0.2.6-3
curl 7.66.0-1
dart 2.5.0-1
dav1d 0.4.0-1
db 5.3.28-4
dbus 1.12.16-2
dbus-glib 0.110-1
dconf 0.34.0-1
delve 1.3.1-1
dep 0.5.4-2
desktop-file-utils 0.24-1
device-mapper 2.02.186-2
dhcpcd 7.2.2-1
diffutils 3.7-1
djvulibre 3.5.27-4
dmenu 4.9-1
dmg2img 1.6.7-3
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20190629-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
dos2unix 7.4.0-1
dosbox 0.74.3-1
dosfstools 4.1-2
double-conversion 3.1.5-1
dumb 2.0.3-2
dunst 1.4.1-1
dzen2 0.9.5.14.488ab66-1
e2fsprogs 1.45.3-1
ebook-tools 0.2.2-6
efibootmgr 16-1
efivar 37-1
electron2 2.0.18-2
electron4 4.2.10-1
elfutils 0.177-1
emscripten 1.38.43-1
enchant 2.2.6-1
evince 3.32.0+28+gaeeb3d2d-1
exempi 2.5.1-1
exiv2 0.27.2-1
exo 0.12.8-1
expat 2.2.7-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.24-1
faudio 19.09-1
feh 3.2.1-1
ffmpeg 1:4.2.1-2
fftw 3.3.8-1
figlet 2.2.5-3
file 5.37-2
file-roller 3.32.2-1
filesystem 2019.05-2
findutils 4.7.0-1
firefox 69.0.1-1
flac 1.3.3-1
flex 2.6.4-2
fontconfig 2:2.13.1+12+g5f5ec56-1
foremost 1.5.7-4
fortune-mod 2.10.0-2
fpc 3.0.4-6
fpc-src 3.0.4-2
freeglut 3.2.0-1
freetype2 2.10.1-1
frei0r-plugins 1.6.1-7
fribidi 1.0.5-1
fuse-common 3.6.2-2
fuse2 2.9.9-3
fuse3 3.6.2-2
fuseiso 20070708-7
fzf 0.18.0-2
fzy 1.0-1
garcon 0.6.4-1
gavl 1.4.0-3
gawk 5.0.1-1
gc 7.6.8-1
gcc 9.1.0-2
gcc-libs 9.1.0-2
gconf 3.2.6+11+g07808097-4
gcr 3.33.4+6+g35df18d-1
gd 2.2.5-2
gdb 8.3-1
gdb-common 8.3-1
gdbm 1.18.1-2
gdk-pixbuf2 2.38.2-1
gdm 3.34.0-2
gegl 0.4.16-2
gendesk 1.0.4-1
geoclue 2.5.3-2
geocode-glib 3.26.1-1
gettext 0.20.1-2
ghc 8.6.5-1
ghc-libs 8.6.5-1
ghostscript 9.27-2
giblib 1.2.4-7
giflib 5.2.1-1
gimp 2.10.12-3
git 2.23.0-1
gjs 2:1.58.0-1
glew 2.1.0-1
glfw-x11 3.3-2
glib-networking 2.62.0-1
glib2 2.62.0-1
glibc 2.29-4
glibmm 2.62.0-1
glide 0.13.3-1
glslang 7.12.3352-1
glu 9.0.1-1
gmp 6.1.2-2
gnome-autoar 0.2.4-1
gnome-bluetooth 3.34.0+1+g96295afd-1
gnome-characters 3.32.1-1
gnome-color-manager 3.32.0-2
gnome-control-center 3.34.0.1+10+g0f8e3f332-1
gnome-desktop 1:3.34.0-1
gnome-keyring 1:3.31.91-1
gnome-online-accounts 3.34.0-1
gnome-session 3.34.0+2+g9d8b0709-1
gnome-settings-daemon 3.34.0-1
gnome-shell 1:3.34.0+94+g3d86e6e79-1
gnome-themes-extra 3.28-1
gnome-tweaks 3.33.90+27+ge26f21d-1
gnome-video-effects 0.5.0+4+g9554041-1
gnu-netcat 0.7.1-7
gnupg 2.2.17-2
gnutls 3.6.9-1
go-ipfs 0.4.22-1
go-pie 2:1.13-1
gobject-introspection-runtime 1.62.0-1
gparted 1.0.0-1
gpgme 1.13.1-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
gradle 5.6.2-1
graphene 1.10.0-1
graphite 1:1.3.13-2
graphviz 2.42.1-1
grep 3.3-1
grilo 0.3.10-1
groff 1.22.4-1
grub 2:2.04-2
gsettings-desktop-schemas 3.34.0-1
gsfonts 20180524-2
gsm 1.0.18-1
gsound 1.0.2-4
gspell 1.8.2-1
gssdp 1.2.1-1
gst-plugins-bad 1.16.0-5
gst-plugins-base 1.16.0-3
gst-plugins-base-libs 1.16.0-3
gst-plugins-good 1.16.0-1
gstreamer 1.16.0-2
gtk-update-icon-cache 1:3.24.11-1
gtk2 2.24.32-1
gtk3 1:3.24.11-1
gtkmm3 3.24.1-1
gts 0.7.6-5
guile 2.2.6-1
guile2.0 2.0.14-3
gupnp 1.2.1-1
gupnp-dlna 0.10.5+4+gc947eed-1
gupnp-igd 0.2.5+3+gedd78a6-2
gvfs 1.42.0-1
gzip 1.10-1
hardinfo 0.5.1.816.g877ea2b-1
harfbuzz 2.6.1-1
harfbuzz-icu 2.6.1-1
haskell-aeson 1.4.4.0-13
haskell-aeson-pretty 0.8.7-88
haskell-ansi-terminal 0.9.1-10
haskell-asn1-encoding 0.9.5-103
haskell-asn1-parse 0.9.4-114
haskell-asn1-types 0.3.3-11
haskell-async 2.2.2-1
haskell-attoparsec 0.13.2.3-2
haskell-base-compat 0.10.5-5
haskell-base-orphans 0.8.1-22
haskell-base64-bytestring 1.0.0.2-17
haskell-basement 0.0.11-1
haskell-bitarray 0.0.1.1-12
haskell-blaze-builder 0.4.1.0-8
haskell-blaze-html 0.9.1.1-34
haskell-blaze-markup 0.8.2.2-28
haskell-byteable 0.1.1-14
haskell-case-insensitive 1.2.1.0-1
haskell-cereal 0.5.8.1-1
haskell-cmark-gfm 0.2.0-4
haskell-cmdargs 0.10.20-8
haskell-colour 2.3.5-14
haskell-connection 0.3.0-19
haskell-cookie 0.4.4-8
haskell-cryptonite 0.26-15
haskell-data-default 0.7.1.1-35
haskell-data-default-class 0.1.2.0-13
haskell-data-default-instances-containers 0.0.1-25
haskell-data-default-instances-dlist 0.0.1-48
haskell-data-default-instances-old-locale 0.0.1-25
haskell-digest 0.0.1.2-14
haskell-dlist 0.8.0.7-3
haskell-doctemplates 0.2.2.1-93
haskell-erf 2.0.0.0-13
haskell-exceptions 0.10.3-1
haskell-glob 0.10.0-21
haskell-haddock-library 1.7.0-69
haskell-hashable 1.2.7.0-8
haskell-hourglass 0.2.12-30
haskell-hslua 1.0.3.2-3
haskell-hslua-module-system 0.2.1-11
haskell-hslua-module-text 0.2.1-20
haskell-hsyaml 0.1.2.0-1
haskell-http 4000.3.14-32
haskell-http-client 0.6.4-26
haskell-http-client-tls 0.3.5.3-137
haskell-http-types 0.12.3-27
haskell-hxt 9.3.1.18-2
haskell-hxt-charproperties 9.4.0.0-1
haskell-hxt-regex-xmlschema 9.2.0.3-17
haskell-hxt-unicode 9.0.2.4-13
haskell-integer-logarithms 1.0.3-2
haskell-ipynb 0.1-69
haskell-juicypixels 3.3.3.1-9
haskell-lexer 1.0.2-6
haskell-memory 0.14.18-34
haskell-mime-types 0.1.0.9-3
haskell-network 2.8.0.0-22
haskell-network-uri 2.6.1.0-18
haskell-old-locale 1.0.0.7-19
haskell-old-time 1.1.0.3-19
haskell-pandoc-types 1.17.6-5
haskell-pem 0.2.4-60
haskell-pretty-show 1.9.5-5
haskell-primitive 0.6.4.0-6
haskell-quickcheck 2.13.2-6
haskell-random 1.1-17
haskell-regex-base 0.93.2-38
haskell-regex-pcre 0.94.4-14
haskell-safe 0.3.17-7
haskell-scientific 0.3.6.2-13
haskell-sha 1.6.4.4-8
haskell-skylighting 0.8.2-13
haskell-skylighting-core 0.8.2-13
haskell-socks 0.6.0-15
haskell-split 0.2.3.3-22
haskell-splitmix 0.0.3-3
haskell-streaming-commons 0.2.1.1-11
haskell-syb 0.7.1-1
haskell-tagged 0.8.6-6
haskell-tagsoup 0.14.8-12
haskell-temporary 1.3-39
haskell-texmath 0.11.2.2-36
haskell-th-abstraction 0.3.1.0-1
haskell-time-compat 1.9.2.2-12
haskell-tls 1.4.1-84
haskell-transformers-compat 0.6.5-1
haskell-unicode-transforms 0.3.6-1
haskell-unordered-containers 0.2.10.0-18
haskell-utf8-string 1.0.1.1-13
haskell-uuid-types 1.0.3-20
haskell-vector 0.12.0.3-16
haskell-x509 1.7.5-32
haskell-x509-store 1.6.7-31
haskell-x509-system 1.6.6-99
haskell-x509-validation 1.6.11-31
haskell-xml 1.3.14-19
haskell-zip-archive 0.4.1-16
haskell-zlib 0.6.2.1-1
hicolor-icon-theme 0.17-1
hspell 1.4-2
htop 2.2.0-2
http-parser 2.9.2-1
hunspell 1.7.0-2
hwids 20190818-1
hyphen 2.8.8-2
i3-gaps 4.17.1-1
i3lock-color 2.12.c-1
iana-etc 20190823-1
icoutils 0.32.3-2
icu 64.2-1
ijs 0.35-2
ilmbase 2.3.0-1
imagemagick 7.0.8.65-1
imlib2 1.5.1-1
inetutils 1.9.4-7
iniparser 4.1-1
inotify-tools 3.20.1-1
intel-compute-runtime 19.37.14191-1
intel-gmmlib 19.3.2-1
intel-graphics-compiler 1:1.0.11-1
intel-media-driver 19.2.1-2
intel-opencl-clang 8.0.1-2
intel-tbb 2019.8-1
iotop 0.6-6
iproute2 5.2.0-1
iptables 1:1.8.3-1
iputils 20190709-1
iso-codes 4.3-1
jack 0.125.0-7
jansson 2.12-1
jasper 2.0.16-1
java-environment-common 3-1
java-openjfx 8.u172-2
java-runtime-common 3-1
jbig2dec 0.16-1
jdk-openjdk 12.0.2.u10-1
jdk8-openjdk 8.u222-2
jemalloc 1:5.2.1-1
jfsutils 1.1.15-6
jq 1.6-2
jre-openjdk 12.0.2.u10-1
jre-openjdk-headless 12.0.2.u10-1
jre8-openjdk 8.u222-2
jre8-openjdk-headless 8.u222-2
js60 60.9.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.9.1-1
kaccounts-integration 19.08.1-1
karchive 5.62.0-1
kauth 5.62.0-1
kbd 2.2.0-3
kbookmarks 5.62.0-1
kcmutils 5.62.0-1
kcodecs 5.62.0-1
kcompletion 5.62.0-1
kconfig 5.62.0-1
kconfigwidgets 5.62.0-1
kcoreaddons 5.62.0-1
kcrash 5.62.0-1
kdbusaddons 5.62.0-1
kdeclarative 5.62.0-1
kdeconnect 1.3.5-3
kdenlive 19.08.1-1
keybase 4.4.2-1
keyutils 1.6.1-1
kfilemetadata 5.62.0-1
kglobalaccel 5.62.0-1
kguiaddons 5.62.0-1
ki18n 5.62.0-1
